yearID,player,team,position,salary
2024,Trevor Williams,WSH,SP,6500000
2024,Yariel Rodriguez,TOR,RP,6400000
2024,Cedric Mullins,BAL,CF,6325000
2024,Kyle Farmer,MIN,SS,6300000
2024,Austin Hays,PHI,LF,6300000
2024,Ceddanne Rafaela,BOS,CF,6250000
2024,Keibert Ruiz,WSH,C,6250000
2024,A.J. Minter,ATL,RP,6220000
2024,Victor Caratini,HOU,C,6000000
2024,Clay Holmes,NYY,RP/CL,6000000
2024,Keynan Middleton,STL,RP,6000000
2024,Tyler O'Neill,BOS,LF,5850000
2024,Max Stassi,CHW,C,5833333
2024,Luke Jackson,ATL,RP,5750000
2024,Tommy Kahnle,NYY,RP,5750000
2024,Tanner Scott,SD,RP/SU7,5700000
2024,Daulton Varsho,TOR,CF,5650000
2024,Yuki Matsui,SD,RP,5600000
2024,Wilmer Flores,SF,1B,5500000
2024,Yimi Garcia,SEA,RP,5500000
2024,Trent Grisham,NYY,CF,5500000
2024,Jesús Luzardo,MIA,SP/SP5,5500000
2024,Miguel Rojas,LAD,SS,5500000
2024,Lane Thomas,CLE,CF,5450000
2024,Carlos Santana,MIN,1B/DH,5250000
2024,David Fletcher,ATL,SS,5200000
2024,Danny Jansen,BOS,C,5200000
2024,Jorge Polanco,SEA,2B,5150000
2024,Kyle Finnegan,WSH,RP/CL,5100000
2024,Ranger Suarez,PHI,SP,5050000
2024,Patrick Sandoval,LAA,SP/SP3,5025000
2024,Ozzie Albies,ATL,2B,5000000
2024,Joey Gallo,WSH,1B/OF,5000000
2024,Liam Hendriks,BOS,RP/CL,5000000
2024,Clayton Kershaw,LAD,SP/SP1,5000000
2024,Andrew McCutchen,PIT,DH,5000000
2024,Brooks Raley,NYM,RP,5000000
2024,Will Smith,KC,RP/CL,5000000
2024,Gregory Soto,BAL,RP,5000000
2024,Myles Straw,CLE,CF,5000000
2024,Luis Urias,SEA,3B,5000000
2024,Aaron Civale,MIL,SP/SP4,4900000
2024,Brady Singer,KC,SP/SP3,4850000
2024,Taylor Ward,LAA,LF,4800000
2024,Colt Keith,DET,2B,4773750
2024,Andrew Chafin,TEX,RP/CL,4750000
2024,Thairo Estrada,SF,2B,4700000
2024,Garrett Whitlock,BOS,SP,4687500
2024,David Bednar,PIT,RP/CL,4510000
2024,Ryan Brasier,LAD,RP,4500000
2024,Adam Frazier,KC,2B,4500000
2024,Michael Lorenzen,KC,SP,4500000
2024,Adam Ottavino,NYM,RP/SU8,4500000
2024,Colin Rea,MIL,SP,4500000
2024,Kirby Yates,TEX,RP,4500000
2024,Jonathan India,CIN,2B,4400000
2024,Luis Rengifo,LAA,2B,4400000
2024,Nicky Lopez,CHW,SS,4300000
2024,Luis Garcia,BOS,RP/SU8,4250000
2024,Chad Green,TOR,RP,4250000
2024,Chris Paddack,MIN,SP,4175000
2024,Ryan Mountcastle,BAL,1B,4137500
2024,Tom Murphy,SF,C,4125000
2024,Wandy Peralta,SD,RP/SU7,4125000
2024,Aaron Ashby,MIL,RP,4100000
2024,Logan Gilbert,SEA,SP/SP4,4050000
2024,Alec Bohm,PHI,3B,4000000
2024,Emmanuel Clase,CLE,RP,4000000
2024,Pete Fairbanks,TB,RP,4000000
2024,Austin Hedges,CLE,C,4000000
2024,Enrique Hernandez,LAD,SS/OF,4000000
2024,Brandon Lowe,TB,2B,4000000
